url,title,author,creator,producer,version,size,xmp,pages
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2017-08-16-Message-to-the-Community-Charlotsville.pdf,<no title>,"Fazio, Joanne",Microsoft® Word 2016,Microsoft® Word 2016,1.5,122217,<no xmp toolkit version>,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Civility-and-Campus-Culture-Message-to-Pres-FINAL-1.pdf,<no title>,"Kirk, Michael",Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,1.5,40852,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",7
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Civility-and-Campus-Culture-with-charge.pdf,,Jim Reardon,Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,1.6,75040,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/Meeting-of-the-Board-of-Trustees-2-5-19-1.pdf,Microsoft Word - Tom Katsouleas Remarks FINAL.docx,<no author>,Word,macOS Version 10.14.2 (Build 18C54) Quartz PDFContext,1.3,80587,<no xmp toolkit version>,9
https://studentlife.uconn.edu/wp-content/uploads/sites/810/2023/02/Master-Recommendation-Chart-with-Updates-2.16.23.pdf,,"Brodie, Jennifer",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.5.233,1.6,193659,"Adobe XMP Core 5.6-c018 91.98c2f96, 2021/06/15-20:39:32        ",7
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Title-IX-process.pdf,"Title IX Reporting,  Response & Resources","Donais, Lauren",Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.4.68,1.6,2838790,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",12
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk1.pdf,<no title>,<no author>,<no creator>,macOS Version 13.2.1 (Build 22D68) Quartz PDFContext,1.4,4022437,<no xmp toolkit version>,12
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CRWG-Wk-8.pdf,<no title>,<no author>,<no creator>,<no producer>,<no version>,1379,<no xmp toolkit version>,-1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2015-08-Diversity-Report.pdf,<no title>,"Overmyer-Velazquez, Mark",Microsoft® Word 2013,Microsoft® Word 2013,1.6,3512481,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",74
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Commemorating-International-Human-Rights-Day.pdf,,Aaron Rosman,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.66,1.6,92179,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Healthcare-Worker-Support-Note.pdf,<no title>,"Kirk, Michael",Microsoft Word,<no producer>,1.7,57366,3.1-701,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Meeting-4-UPDC-Focus-on-Sustainability.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #6  March 2023,Katie Milardo,Microsoft® PowerPoint® for Microsoft 365,Microsoft® PowerPoint® for Microsoft 365,1.7,666333,3.1-701,15
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk5.pdf,CNTF-Wk5,Mary Josephine,PowerPoint,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.4,13538281,<no xmp toolkit version>,13
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sustainability-and-the-Environment-Working-Group.pdf,<no title>,"Coia, Julie",Microsoft® Word 2016,Microsoft® Word 2016,1.5,563053,<no xmp toolkit version>,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Connecticut-Hydrogen-Task-Force-Study-FINAL.pdf,<no title>,<no author>,Adobe InDesign 18.1 (Windows),Adobe PDF Library 17.0,1.7,4065291,"Adobe XMP Core 9.0-c000 79.cca54b0, 2022/11/26-09:29:55        ",120
https://president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/2024-Sustainability-Action-Plan-Final.pdf,2024 Sustainability Action Plan,<no author>,<no creator>,Equidox 5,1.7,2827923,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ",19
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Charge-Presidents-Working-Group-01.21.19.pdf,,"Carone, Debbie",Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,1.5,8416,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk4.pdf,CNTF - Wk4,Mary Josephine,PowerPoint,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.4,6046362,<no xmp toolkit version>,13
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF-Wk6-1.pdf,CNTF-Wk6,Mary Josephine,PowerPoint,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.4,2173201,<no xmp toolkit version>,11
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/ltr101910.pdf,<no title>,<no author>,<no creator>,<no producer>,1.4,1117964,<no xmp toolkit version>,10
